股票代码,总市值
600588,646.8
600589,19.15
600590,55.01
600592,36.52
600593,20.41
600594,42.61
600595,127.35
600596,127.52
600597,149.17
600598,249.59
600599,16.5
600600,1303.52
600601,148.46
600602,178.48
600603,77.65
600604,98.16
600605,41.44
600606,435.68
600608,13.58
600609,62.68
600610,140.23
600611,75.89
600612,313.03
600613,44.86
600615,16.49
600616,46.7
600617,60.91
600618,103.04
600619,65.76
600620,82.26
600621,132.61
600622,53.09
600623,138.33
600624,42.04
600626,47.41
600628,48.39
600629,65.9
600630,24.26
600633,175.68
600635,100.68
600636,48.23
600637,270.77
600638,45.32
600639,146.14
600640,88.96
600641,156.44
600642,325.99
600643,96.18
600644,37.58
600645,79.93
600647,20.62
600648,136.24
600649,117.37
600650,52.62
600651,91.01
600653,37.76
600654,61.28
600655,291.32
600657,144.59
600658,65.66
600660,971.09
600661,25.85
600662,137.25
600663,514.5
600664,84.7
600665,39.32
600666,57.2
600667,143.22
600668,40.19
600671,12.57
600673,210.37
600674,659.76
600675,240.19
600676,44.12
600678,19.3
600679,44.47
600681,60.61
600682,111.19
600683,51.56
600684,36.95
600685,355.78
600686,50.98
600688,344.5
600689,18.93
600690,2227.4
600691,75.79
600692,21.67
600693,35.75
600694,55.57
600696,86.13
600697,20.43
600698,49.56
600699,255.96
600702,455.81
600703,830.17
600704,256.03
600705,348.58
600706,43.49
600707,217.46
600708,61.51
600710,103.23
600711,156.58
600712,22.55
600713,70.75
600714,25.56
600715,42.11
600716,39.97
600717,131.68
600718,124.86
600719,30.99
600720,87.49
600721,27.88
600722,33.61
600724,58.97
600725,34.26
600726,192.15
600727,31.45
600728,126.1
600729,135.54
600730,35.02
600731,41.46
600732,438.57
600733,307.1
600734,86.48
600735,25.26
600736,61.59
600737,175.17
600738,41.65
600739,217.68
600740,131.95
600741,596.5
600742,65.31
600743,49.97
600744,71.29
600745,576.66
600746,80.7
600748,88.54
600749,29.89
600750,120.66
600751,76.25
600753,23.15
600754,503.13
600755,170.62
600756,48.65
600757,101.1
600758,60.02
600759,59.76
600760,1167.87
600761,153.74
600763,349.18
600764,172.19
600765,364.63
600766,28.72
600768,14.11
600769,32.55
600770,70.46
600771,151.99
600773,110.0
600774,32.45
600775,83.34
600776,144.19
600777,177.49
600778,22.58
600779,334.67
600780,109.49
600782,134.25
600783,98.33
600784,46.21
600785,33.08
600787,122.12
600789,59.83
600790,63.47
600791,23.78
600792,34.05
600793,21.44
600794,46.79
600795,645.65
600796,46.71
600797,69.77
600798,42.95
600800,43.04
600801,286.19
600802,25.02
600803,566.08
600804,71.6
600805,38.29
600807,32.73
600808,214.45
600809,2760.78
600810,72.36
600811,87.08
600812,99.51
600814,63.35
600815,48.08
600816,367.2
600817,54.91
600818,51.62
600819,46.37
600820,191.16
600821,128.02
600822,61.45
600823,57.77
600824,39.95
600825,48.9
600826,62.59
600827,237.83
600828,71.7
600829,44.77
600830,30.53
600831,41.92
600833,27.66
600834,40.43
600835,158.63
600836,30.1
600837,1375.66
600838,27.1
600839,188.34
600841,86.18
600843,38.15
600844,28.77
600845,1199.37
600846,59.6
600847,18.53
600848,313.55
600850,153.87
600851,88.12
600853,42.73
600854,24.99
600855,57.5
600857,22.03
600858,31.83
600859,256.63
600860,74.24
600861,140.4
600862,331.55
600863,225.18
600864,130.04
600865,34.35
600866,90.55
600867,197.57
600868,52.58
600869,117.18
600871,406.26
600872,268.6
600873,265.5
600874,93.13
600875,555.72
600876,101.63
600877,158.44
600879,243.16
600880,56.2
600881,74.73
600882,112.16
600883,18.89
600884,332.8
600885,365.25
600886,958.61
600887,1750.73
600888,109.89
600889,18.43
600892,30.55
600893,1044.38
600894,64.24
600895,240.2
600897,59.96
600898,9.76
600900,5321.84
600901,190.16
600903,108.29
600905,1497.02
600906,287.51
600908,117.88
600909,259.31
600916,198.58
600917,109.21
600918,551.92
600919,1123.55
600925,405.07
600926,686.73
600927,262.58
600928,167.11
600929,123.68
600933,203.5
600935,130.83
600936,73.02
600938,8875.96
600939,69.23
600941,20949.35
600955,109.72
600956,362.6
600958,915.94
600959,169.52
600960,35.07
600961,93.98
600962,29.76
600963,121.53
600965,53.95
600966,84.89
600967,158.62
600968,310.04
600969,25.57
600970,348.26
600971,96.6
600973,68.16
600975,112.89
600976,100.38
600977,292.0
600979,41.4
600980,28.54
600981,69.07
600982,49.62
600983,61.01
600984,58.96
600985,295.99
600986,78.82
600987,83.33
600988,250.42
600989,1014.94
600990,62.65
600992,46.37
600993,108.28
600995,340.69
600996,137.67
600997,99.56
600998,267.48
600999,1305.35
601000,208.0
601001,149.29
601002,46.14
601003,110.2
601005,148.05
601006,1069.28
601007,35.92
601008,54.34
601009,867.84
601010,49.53
601011,70.11
601012,2230.45
601015,88.03
601016,230.51
601018,671.18
601019,184.9
601020,71.88
601021,597.99
601022,139.37
601028,82.92
601038,125.51
601058,353.43
601059,587.63
601061,427.77
601065,77.58
601066,2070.26
601068,156.24
601069,132.8
601077,436.11
601086,43.16
601088,5465.83
601089,76.22
601098,203.13
601099,325.82
601100,888.56
601101,85.54
601106,222.88
601107,128.74
601108,396.58
601111,1516.39
601113,39.42
601116,67.47
601117,500.37
601118,196.0
601121,60.32
601126,118.56
601127,593.15
601128,194.6
601133,76.23
601136,615.0
601137,111.42
601138,4271.29
601139,202.81
601155,348.27
601156,210.03
601158,259.68
601162,324.97
601163,124.96
601166,3344.66
601168,289.06
601169,949.32
601177,39.69
601179,267.57
601186,1370.18
601187,146.74
601188,43.29
601198,295.12
601199,57.89
601200,108.26
601208,116.55
601211,1372.2
601212,216.22
601216,366.21
601218,36.93
601222,153.48
601225,1573.5
601226,78.63
601228,249.72
601229,859.5
601231,321.84
601233,350.82
601236,423.1
601238,1165.94
601279,79.49
601288,12109.41
601298,402.45
601311,99.95
601318,8990.39
601319,2719.78
601326,180.47
601328,4114.15
601330,102.56
601333,229.51
601336,1336.73
601339,84.0
601360,803.14
601366,48.68
601368,47.06
601369,145.12
601375,217.75
601377,604.52
601388,65.16
601390,1908.39
601398,16430.33
601399,228.67
601456,311.5
601500,65.71
601512,144.04
601515,79.8
601518,46.51
601519,174.48
601528,110.86
601555,451.18
601566,59.19
601567,211.1
601568,210.92
601577,326.95
601579,55.95
601588,80.81
601595,105.28
601598,334.08
601599,42.13
601600,1053.72
601601,2746.61
601606,94.95
601607,713.99
601608,173.58
601609,96.64
601611,237.93
601615,393.05
601616,32.09
601618,804.08
601619,102.48
601628,10166.81
601633,2377.9
601636,229.17
601658,4878.73
601665,187.36
601666,179.43
601668,2456.48
601669,990.5
601677,142.66
601678,96.93
601686,107.51
601688,1542.85
601689,775.73
601696,325.86
601698,711.39
601699,480.42
601700,60.65
601702,145.19
601717,207.81
601718,129.99
601727,721.35
601728,5353.17
601766,1808.03
601777,181.03
601778,165.69
601788,840.55
601789,51.19
601798,24.89
601799,400.29
601800,1784.12
601801,153.77
601808,727.67
601811,168.42
601816,2637.02
601818,1796.2
601825,563.24
601827,123.35
601828,219.04
601838,524.03
601857,14257.33
601858,217.55
601860,103.24
601865,818.73
601866,335.33
601868,988.08
601869,247.61
601872,507.35
601877,574.04
601878,428.15
601880,383.79
601881,1344.33
601882,156.03
601886,100.38
601888,2492.98
601890,95.46
601898,1091.19
601899,3290.82
601900,163.14
601901,628.11
601908,128.22
601916,733.31
601918,110.36
601919,1571.75
601921,181.11
601928,261.62
601929,64.05
601933,310.37
601939,14825.65
601949,194.2
601952,169.36
601956,35.34
601958,384.93
601963,281.44
601965,220.94
601966,343.63
601968,75.12
601969,139.16
601975,166.45
601985,1357.71
601988,11127.86
601989,1014.69
601990,329.93
601991,545.95
601992,249.86
601995,1987.86
601996,28.98
601997,205.11
601998,2742.14
601999,40.11
603000,323.53
603001,23.3
603002,49.53
603003,35.74
603005,133.91
603006,27.82
603007,16.32
603008,92.59
603009,24.72
603010,64.68
603011,32.48
603012,38.05
603013,73.26
603015,35.13
603016,30.49
603017,29.6
603018,59.15
603019,594.8
603020,34.95
603021,17.05
603022,19.38
603023,23.66
603025,144.08
603026,118.37
603027,187.99
603028,33.18
603029,25.12
603030,17.17
603031,53.7
603032,63.64
603033,154.77
603035,77.18
603036,21.18
603037,21.39
603038,20.27
603039,184.72
603040,32.68
603041,21.5
603042,26.96
603043,145.09
603045,21.51
603048,24.22
603050,34.25
603051,35.58
603052,27.73
603053,91.47
603055,94.74
603056,174.58
603057,104.48
603058,37.04
603059,22.43
603060,86.75
603061,55.99
603063,125.61
603065,59.58
603066,31.15
603067,57.62
603068,41.28
603069,58.46
603070,68.57
603071,91.23
603073,22.16
603076,45.63
603077,219.02
603078,58.54
603079,21.93
603080,19.84
603081,63.45
603083,129.44
603085,39.83
603086,28.57
603087,239.27
603088,38.46
603089,19.11
603090,21.24
603093,84.19
603095,26.94
603096,31.82
603097,33.78
603098,117.35
603099,35.31
603100,131.34
603101,29.54
603102,30.33
603103,122.53
603105,74.45
603106,44.3
603108,87.82
603109,33.97
603110,57.75
603111,45.99
603112,50.1
603113,71.23
603115,33.01
603116,35.09
603117,21.27
603118,85.45
603119,78.15
603121,27.08
603122,38.93
603123,82.35
603125,60.27
603126,45.36
603127,205.39
603128,119.55
603129,226.99
603130,32.47
603131,40.45
603132,125.97
603133,15.06
603135,85.72
603136,44.15
603137,26.37
603138,57.56
603139,17.64
603150,22.83
603151,28.01
603153,71.56
603155,54.81
603156,323.21
603158,35.39
603159,19.43
603160,248.09
603161,19.8
603162,109.84
603163,37.3
603165,43.24
603166,40.97
603167,33.64
603168,33.23
603169,87.78
603170,77.28
603171,166.15
603172,23.26
603173,44.48
603176,30.52
603177,27.73
603178,26.34
603179,258.66
603180,46.59
603181,64.23
603182,26.44
603183,25.19
603185,279.95
603186,44.25
603187,68.67
603188,20.87
603189,37.63
603190,34.04
603191,60.77
603192,26.73
603195,906.14
603196,44.51
603197,117.53
603198,558.48
603199,35.12
603200,31.38
603201,24.19
603203,64.43
603206,51.37
603208,68.83
603209,60.37
603211,39.11
603212,79.25
603213,50.74
603214,22.96
603215,38.66
603216,29.97
603217,49.09
603218,174.14
603219,72.7
603220,54.32
603221,21.07
603222,51.47
603223,97.34
603225,191.03
